verb	tr	pass	trpt	passpt	apass	apasspt	inpt	in	sfin	sfinpt	quote	quotept	npcomp	passcomp	npcomppt	passcomppt	inf	other	x	i	TOTAL
cheer	17	7	11	1	3	3	6	78	0	0	1	0	0	0	0	0	0	0	24	0	151
chip	9	3	4	1	8	0	12	6	0	0	0	1	0	0	0	0	0	0	18	0	62
choose	58	21	0	0	5	0	0	5	1	0	0	0	0	0	0	0	15	0	8	0	113
chop	33	6	26	7	3	0	2	9	0	0	0	0	0	0	0	0	0	0	23	0	109
claim	44	5	0	0	1	0	0	0	54	0	2	0	0	4	0	0	15	5	2	0	132
clean	48	34	4	8	5	1	1	5	0	0	0	0	0	0	0	0	0	0	4	1	111
coach	11	1	0	0	2	0	0	14	0	0	0	0	0	1	0	0	0	0	11	0	40
coax	3	8	0	0	0	0	0	2	0	0	8	0	3	0	0	0	0	0	0	0	24
comfort	22	11	0	0	4	0	0	0	0	0	3	0	0	1	0	0	1	0	30	0	72
confess	16	2	0	0	0	0	0	23	27	0	11	0	0	4	0	0	0	0	3	0	86
confide	8	1	0	0	0	0	0	7	7	0	13	0	1	0	0	0	0	0	5	0	42
confirm	61	48	0	0	0	0	0	1	11	0	1	0	1	0	0	0	0	0	7	0	130
continue	5	3	0	0	0	0	0	46	0	0	10	0	0	0	0	0	48	2	11	0	125
cook	42	44	1	1	8	0	0	12	0	0	0	0	0	0	0	0	0	0	22	0	130
copy	53	47	4	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	0	138
cover	56	36	2	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	130
crack	49	6	2	1	16	0	5	39	0	0	2	0	0	0	0	0	0	0	53	0	173
crash	4	0	24	0	0	0	17	50	0	0	0	0	0	0	0	0	0	0	15	0	110
criticize	52	54	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	110
crumble	2	2	0	0	3	0	3	16	0	0	0	0	0	0	0	0	0	0	7	0	33
crush	27	15	1	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	23	0	74
dance	6	1	0	0	0	0	1	99	0	0	0	0	0	0	0	0	0	1	4	0	112
dangle	10	0	0	0	1	0	4	58	0	0	0	0	0	0	0	0	0	0	25	0	98
debate	20	20	0	0	2	0	0	13	8	0	0	0	0	0	0	0	0	1	13	0	77
decide	3	2	0	0	0	0	0	7	35	0	2	0	0	2	0	0	50	4	1	0	106
declare	29	13	0	0	1	0	0	0	37	0	22	0	2	2	0	0	0	2	2	0	110
delight	18	4	0	0	50	0	0	7	0	0	0	0	0	25	0	0	1	0	6	0	111
deny	39	53	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	105
describe	56	22	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	105
design	22	21	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	107
determine	47	46	0	0	2	0	0	0	3	0	0	0	0	19	0	0	6	5	7	0	135
disappear	0	0	0	0	1	0	0	104	0	0	0	0	0	0	0	0	0	0	1	0	106
discover	35	27	0	0	0	0	0	0	35	0	0	0	1	3	0	0	0	4	3	0	108
discuss	39	38	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	105
dispute	5	7	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	14	0	32
dissolve	22	20	0	0	25	0	0	38	0	0	0	0	0	0	0	0	0	0	33	0	138
distract	12	14	0	0	14	0	0	2	0	0	0	0	0	0	0	0	0	0	24	0	66
disturb	28	42	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	130
doubt	21	4	0	0	0	0	0	5	56	0	0	0	0	3	0	0	0	3	11	0	103
draw	47	40	21	5	19	1	5	22	0	0	0	0	0	0	0	0	0	0	39	1	200
drift	2	0	1	0	0	0	34	69	0	0	0	0	0	0	0	0	0	0	19	0	125
drink	66	0	2	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	5	0	110
drip	11	0	1	0	1	1	6	87	0	0	0	0	0	0	0	0	0	0	48	0	154
drive	45	16	2	0	5	0	8	63	0	0	0	0	1	0	0	0	0	0	20	4	164
drop	40	6	2	1	1	0	17	48	0	0	0	0	0	0	0	0	0	0	6	0	121
dust	22	4	11	0	8	0	0	8	0	0	0	0	0	0	0	0	0	2	9	0	64
eat	70	12	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	1	1	106
elect	30	65	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	23	0	128
emphasize	83	9	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	1	1	0	111
encourage	40	12	0	0	4	0	0	1	0	0	1	0	30	23	0	0	0	0	14	0	125
entertain	49	17	0	0	4	0	0	11	0	0	0	0	0	0	0	0	0	0	21	0	102
enthuse	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
escape	28	0	0	0	1	0	0	75	0	0	0	0	0	0	0	0	0	1	10	0	115
establish	61	34	0	0	8	0	0	0	1	0	0	0	0	1	0	0	0	0	14	0	119
estimate	12	16	0	0	4	0	0	3	27	0	0	0	0	42	0	0	0	1	30	0	135
excite	14	7	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	125
expect	17	13	0	0	6	0	0	0	0	0	0	0	20	31	0	0	11	8	13	0	119
fall	0	0	0	0	0	0	12	86	0	0	0	0	0	0	0	0	0	1	9	12	120
fear	47	5	0	0	0	0	0	5	47	0	0	0	0	0	0	0	2	5	7	0	118
fight	26	7	4	0	0	0	2	64	0	0	0	0	0	0	0	0	3	0	16	0	122
figure	22	15	43	2	2	0	2	20	71	7	4	0	0	0	0	0	3	1	8	0	200
fill	60	95	15	3	12	0	2	9	0	0	0	0	0	0	0	0	0	0	4	0	200
find	83	65	4	0	8	0	3	3	26	0	0	0	1	3	0	0	0	1	3	0	200
float	7	2	0	0	3	0	29	105	0	0	0	0	0	0	0	0	0	0	54	0	200
flood	42	32	1	1	10	0	4	23	1	0	0	0	0	0	0	0	0	0	9	0	123
fly	11	4	0	0	0	0	39	121	0	0	0	0	0	0	0	0	0	0	25	0	200
follow	69	27	1	0	0	0	2	31	2	0	0	0	0	0	0	0	0	0	68	0	200
forget	92	19	0	0	8	0	0	33	15	0	1	0	0	0	0	0	24	1	7	0	200
fracture	4	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	16
freeze	9	6	0	1	31	2	3	51	0	0	0	0	0	0	0	0	0	0	97	0	200
frighten	30	1	1	0	106	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	200
gladden	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
gore	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
govern	76	66	0	0	2	0	0	25	0	0	0	0	0	0	0	0	0	0	31	0	200
grasp	81	10	0	0	3	0	0	6	3	0	0	0	0	0	0	0	0	5	7	0	115
grieve	5	0	0	0	6	0	0	23	0	0	0	0	0	0	0	0	0	0	8	0	42
grow	17	10	0	0	5	0	14	125	0	0	0	0	0	0	0	0	0	0	29	0	200
guarantee	53	40	0	0	11	0	0	3	16	0	0	0	0	8	0	0	2	0	39	0	172
guard	63	26	1	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	129
guess	17	1	0	0	2	0	0	15	121	0	11	0	1	0	0	0	0	1	31	0	200
hang	26	6	7	1	14	4	34	96	0	0	0	0	0	0	0	0	0	3	9	0	200
happen	0	0	0	0	0	0	0	105	3	0	0	0	0	0	0	0	5	0	0	0	113
harden	7	8	0	0	15	0	0	86	0	0	0	0	0	0	0	0	0	0	43	0	159
hear	100	17	1	0	2	0	0	24	15	0	0	0	41	0	0	0	0	0	0	0	200
heat	48	98	0	0	13	0	1	2	0	0	0	0	0	0	0	0	0	0	38	0	200
help	30	0	3	0	0	0	0	3	0	0	0	0	87	1	0	0	27	46	3	0	200
